iter	Passed	Remaining
718	1191	465
719	1195	464
720	1198	463
721	1201	462
722	1204	461
723	1206	460
724	1210	458
725	1213	457
726	1215	456
727	1216	454
728	1219	453
729	1222	451
730	1224	450
731	1226	449
732	1228	447
733	1230	445
734	1232	444
735	1234	442
736	1237	441
737	1239	439
738	1240	438
739	1242	436
740	1244	434
741	1245	433
742	1247	431
743	1250	430
744	1253	428
745	1255	427
746	1258	426
747	1260	424
748	1262	422
749	1264	421
750	1266	420
751	1269	418
752	1271	417
753	1273	415
754	1275	413
755	1276	412
756	1278	410
757	1282	409
758	1285	408
759	1287	406
760	1289	404
761	1291	403
762	1292	401
763	1294	399
764	1296	398
765	1298	396
766	1299	394
767	1300	392
768	1302	391
769	1303	389
770	1304	387
771	1305	385
772	1307	383
773	1308	382
774	1310	380
775	1312	378
776	1313	377
777	1315	375
778	1318	373
779	1319	372
780	1322	370
781	1324	369
782	1327	367
783	1328	366
784	1330	364
785	1332	362
786	1334	361
787	1337	359
788	1341	358
789	1343	357
790	1345	355
791	1346	353
792	1349	352
793	1352	350
794	1355	349
795	1357	347
796	1360	346
797	1360	344
798	1362	342
799	1366	341
800	1369	340
801	1372	338
802	1373	336
803	1374	335
804	1377	333
805	1380	332
806	1384	331
807	1387	329
808	1390	328
809	1394	327
810	1398	325
811	1401	324
812	1403	322
813	1406	321
814	1409	320
815	1412	318
816	1415	316
817	1417	315
818	1419	313
819	1421	311
820	1424	310
821	1427	309
822	1430	307
823	1432	305
824	1434	304
825	1436	302
826	1438	301
827	1441	299
828	1443	297
829	1445	296
830	1447	294
831	1450	292
832	1454	291
833	1456	289
834	1458	288
835	1460	286
836	1462	284
837	1463	282
838	1464	281
839	1466	279
840	1468	277
841	1471	276
842	1473	274
843	1476	272
844	1478	271
845	1480	269
846	1483	268
847	1487	266
848	1490	265
849	1492	263
850	1494	261
851	1497	260
852	1500	258
853	1502	256
854	1504	255
855	1506	253
856	1508	251
857	1509	249
858	1512	248
859	1516	246
860	1518	245
861	1520	243
862	1522	241
863	1523	239
864	1525	238
865	1527	236
866	1529	234
867	1531	232
868	1533	231
869	1535	229
870	1536	227
871	1538	225
872	1539	223
873	1541	222
874	1543	220
875	1546	218
876	1547	217
877	1548	215
878	1550	213
879	1551	211
880	1553	209
881	1554	207
882	1556	206
883	1558	204
884	1560	202
885	1562	201
886	1564	199
887	1566	197
888	1567	195
889	1568	193
890	1570	192
891	1572	190
892	1574	188
893	1576	186
894	1579	185
895	1581	183
896	1582	181
897	1584	179
898	1586	178
899	1588	176
900	1590	174
901	1592	172
902	1593	171
903	1595	169
904	1596	167
905	1597	165
906	1599	163
907	1600	162
908	1603	160
909	1606	158
910	1609	157
911	1610	155
912	1612	153
913	1615	152
914	1618	150
915	1621	148
916	1623	146
917	1624	145
918	1626	143
919	1628	141
920	1632	140
921	1635	138
922	1638	136
923	1639	134
924	1641	133
925	1643	131
926	1646	129
927	1648	127
928	1651	126
929	1653	124
930	1654	122
931	1656	120
932	1660	119
933	1663	117
934	1666	115
935	1669	114
936	1672	112
937	1675	110
938	1679	109
939	1681	107
940	1683	105
941	1685	103
942	1688	102
943	1691	100
944	1695	98
945	1697	96
946	1699	95
947	1702	93
948	1704	91
949	1707	89
950	1710	88
951	1712	86
952	1714	84
953	1716	82
954	1718	80
955	1721	79
956	1724	77
957	1727	75
958	1729	73
959	1731	72
960	1734	70
961	1736	68
962	1739	66
963	1741	65
964	1743	63
965	1745	61
966	1746	59
967	1750	57
968	1753	56
969	1756	54
970	1759	52
971	1762	50
972	1764	48
973	1766	47
974	1768	45
975	1770	43
976	1771	41
977	1773	39
978	1774	38
979	1775	36
980	1777	34
981	1779	32
982	1782	30
983	1785	29
984	1787	27
985	1788	25
986	1790	23
987	1792	21
988	1794	19
989	1795	18
990	1797	16
991	1798	14
992	1799	12
993	1800	10
994	1802	9
995	1803	7
996	1804	5
997	1805	3
998	1806	1
999	1808	0
